City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Olonkinbyen,70.9221,-8.7187,19.4,58,40,18.59,SJ,1732906145
1,Ushuaia,-54.8,-68.3,51.46,54,40,32.21,AR,1732906146
2,Fale old settlement,-9.3852,-171.2468,81.73,76,75,15.68,TK,1732906147
3,Grytviken,-54.2811,-36.5092,41.88,82,100,9.73,GS,1732906149
4,Saint Paul Harbor,57.79,-152.4072,27.91,69,75,11.5,US,1732906150
5,Haiku-Pauwela,20.9219,-156.3051,76.05,81,25,11.99,US,1732906151
6,Ironwood,46.4547,-90.171,16.61,86,100,16.11,US,1732905902
7,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.91,90,100,14.16,SH,1732906153
8,Bethel,41.3712,-73.414,43.93,65,40,4.61,US,1732906154
9,Thompson,55.7435,-97.8558,5.16,85,100,4.61,CA,1732906156
10,Vadsø,70.0744,29.7487,30.36,74,40,46.04,NO,1732906157
11,Ust-Nera,64.5667,143.2,-12.78,93,13,1.32,RU,1732906158
12,Lüderitz,-26.6481,15.1594,66.15,65,0,14.58,NA,1732906159
13,West Island,-12.1568,96.8225,80.58,94,20,8.05,CC,1732906160
14,Sari,36.5633,53.0601,45.99,87,0,6.91,IR,1732906162
15,Sitka,57.0531,-135.33,28.29,50,40,10.36,US,1732906163
16,Bento Gonçalves,-29.1714,-51.5192,77.52,76,99,1.01,BR,1732906164
17,Tarawa,1.419,172.984,82.49,78,20,10.36,KI,1732906165
18,Alice Springs,-23.7,133.8833,74.75,50,100,5.75,AU,1732906166
19,Khandyga,62.6667,135.6,-6.72,99,100,1.95,RU,1732906167
20,Zeya,53.75,127.2667,6.67,95,100,3.62,RU,1732906168
21,Bu’aale,1.0833,42.5833,76.44,90,100,6.24,SO,1732906169
22,Gadzhiyevo,69.2551,33.3362,27.66,75,8,26.26,RU,1732906170
23,Margaret River,-33.95,115.0667,64.78,45,0,8.28,AU,1732906172
24,Port-aux-Français,-49.35,70.2167,40.24,81,100,10.33,TF,1732906173
25,Cruz,-2.9178,-40.1717,85.24,56,100,18.81,BR,1732906174
26,Aasiaat,68.7098,-52.8699,10.06,81,83,5.35,GL,1732906175
27,Baghlan,35.75,69.0,42.15,89,99,1.92,AF,1732906176
28,Nuuk,64.1835,-51.7216,29.01,80,100,2.3,GL,1732906177
29,Yellowknife,62.456,-114.3525,-8.59,96,75,3.44,CA,1732905961
30,Douentza,14.9951,-2.9517,74.61,16,0,6.78,ML,1732906179
31,Perryton,36.4,-100.8027,48.2,57,0,12.66,US,1732905925
32,Adamstown,-25.066,-130.1015,72.77,81,100,16.8,PN,1732906180
33,Tazacorte,28.629,-17.9293,74.37,43,0,7.0,ES,1732906183
34,Klyuchi,52.2667,79.1667,13.15,92,11,4.79,RU,1732906184
35,Bredasdorp,-34.5322,20.0403,63.77,74,7,6.69,ZA,1732906185
36,Puerto Natales,-51.7236,-72.4875,61.25,41,40,33.38,CL,1732906186
37,Killarney,52.05,-9.5167,55.06,94,99,6.93,IE,1732906188
38,Pontianak,-0.0333,109.3333,76.98,100,75,2.3,ID,1732906189
39,Swakopmund,-22.6833,14.5333,61.93,87,0,1.66,NA,1732906190
40,Leava,-14.3,-178.1667,81.81,78,84,11.39,WF,1732906191
41,Hermanus,-34.4187,19.2345,65.8,71,12,9.73,ZA,1732906192
42,Pôsto Fiscal Rolim de Moura,-13.0833,-62.2667,96.57,38,18,3.18,BR,1732906193
43,Nova Sintra,14.8667,-24.7167,78.62,74,7,15.37,CV,1732906194
44,Avarua,-21.2078,-159.775,78.85,83,75,5.75,CK,1732906195
45,Kerikeri,-35.2268,173.9474,59.92,93,99,3.24,NZ,1732906197
46,Waitangi,-43.9535,-176.5597,51.82,76,97,11.99,NZ,1732906192
47,Korla,41.7597,86.1469,28.31,75,0,4.03,CN,1732906199
48,Udachny,66.4167,112.4,-6.02,94,100,13.98,RU,1732906172
49,Moranbah,-22.0016,148.0466,72.41,88,100,9.89,AU,1732906201
50,Ilulissat,69.2167,-51.1,19.42,73,75,12.66,GL,1732906202
51,Hasaki,35.7333,140.8333,51.91,56,0,12.21,JP,1732906203
52,São Gonçalo do Amarante,-3.6072,-38.9683,83.12,53,82,12.03,BR,1732905986
53,Botou,38.0667,116.5667,41.59,51,0,6.42,CN,1732906206
54,Invercargill,-46.4,168.35,46.02,93,8,3.62,NZ,1732906207
55,Iskateley,67.6803,53.1512,25.39,93,100,17.92,RU,1732906058
56,College,64.8569,-147.8028,-20.25,55,75,0.0,US,1732906209
57,Tsiombe,-25.3,45.4833,72.34,70,95,6.44,MG,1732905964
58,Afaahiti,-17.75,-149.2833,78.6,81,76,15.5,PF,1732906211
59,Shortandy,51.7006,70.9994,2.52,94,100,3.31,KZ,1732906212
60,Sandnessjøen,66.0217,12.6316,32.41,69,75,3.44,NO,1732906214
61,Saltpond,5.2091,-1.0606,80.4,80,1,7.7,GH,1732906215
62,Carnarvon,-24.8667,113.6333,77.34,70,100,6.51,AU,1732906216
63,Talnakh,69.4865,88.3972,-4.27,99,100,8.68,RU,1732906160
64,Port Elizabeth,-33.918,25.5701,65.32,81,0,9.22,ZA,1732906209
65,Caconda,-13.7333,15.0667,62.42,94,100,3.69,AO,1732906219
66,Shenandoah,30.4013,-91.0009,57.94,51,3,5.99,US,1732906220
67,Puerto Baquerizo Moreno,-0.9,-89.6,79.79,57,40,11.5,EC,1732906025
68,George Town,5.4112,100.3354,78.73,83,20,3.44,MY,1732905800
69,Sangmélima,2.9333,11.9833,73.36,68,27,2.33,CM,1732906224
70,Kununurra,-15.7667,128.7333,78.78,94,99,0.0,AU,1732906225
71,Al Jawf,29.5,38.75,54.07,36,0,8.1,SA,1732906226
72,Kikwit,-5.041,18.8162,75.09,78,91,2.1,CD,1732906227
73,Kailua-Kona,19.6406,-155.9956,79.56,62,0,4.61,US,1732906219
74,Lyubim,58.3625,40.6843,33.49,94,100,8.34,RU,1732906229
75,Carutapera,-1.195,-46.02,84.85,61,94,9.98,BR,1732906230
76,Island Harbour,50.724,-1.2758,52.02,75,48,10.0,GB,1732906232
77,Villazón,-22.0866,-65.5942,68.5,36,74,19.22,BO,1732906233
78,Finisterra,42.9049,-9.2629,60.93,93,93,17.25,ES,1732906234
79,Palmer,42.1584,-72.3287,44.53,46,100,1.99,US,1732906235
80,Iquique,-20.2208,-70.1431,68.68,78,85,7.54,CL,1732906226
81,Isafjordur,66.0755,-23.124,14.04,79,20,0.0,IS,1732906237
82,Saint-Philippe,-21.3585,55.7679,76.1,84,41,15.28,RE,1732906238
83,Sandy City,40.572,-111.8606,39.16,57,0,8.99,US,1732906240
84,Perevolotskiy,51.8763,54.1938,27.19,66,8,5.57,RU,1732906241
